nth vaddr       bind type lib                                  name
86  0x1400ad538 NONE FUNC MSVCP140.dll                         ??1?$basic_ios@DU?$char_traits@D@std@@@std@@UEAA@XZ
87  0x1400ad540 NONE FUNC MSVCP140.dll                         ?xsputn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MEAA_JPEBD_J@Z
88  0x1400ad548 NONE FUNC MSVCP140.dll                         ?xsgetn@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MEAA_JPEAD_J@Z
89  0x1400ad550 NONE FUNC MSVCP140.dll                         ?_Init@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAXPEAPEAD0PEAH001@Z
90  0x1400ad558 NONE FUNC MSVCP140.dll                         ?_Init@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAXXZ
91  0x1400ad560 NONE FUNC MSVCP140.dll                         ?_Pnavail@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEBA_JXZ
92  0x1400ad568 NONE FUNC MSVCP140.dll                         ?_Pninc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IEAAPEADXZ
1   0x1400ad7d0 NONE FUNC VirtDisk.dll                         AttachVirtualDisk
2   0x1400ad7d8 NONE FUNC VirtDisk.dll                         OpenVirtualDisk
3   0x1400ad7e0 NONE FUNC VirtDisk.dll                         DetachVirtualDisk
4   0x1400ad7e8 NONE FUNC VirtDisk.dll                         GetVirtualDiskPhysicalPath
1   0x1400ad588 NONE FUNC USER32.dll                           MonitorFromWindow
2   0x1400ad590 NONE FUNC USER32.dll                           LoadCursorA
3   0x1400ad598 NONE FUNC USER32.dll                           SetWindowLongPtrA
4   0x1400ad5a0 NONE FUNC USER32.dll                           SetWindowLongW
5   0x1400ad5a8 NONE FUNC USER32.dll                           SetWindowLongA
6   0x1400ad5b0 NONE FUNC USER32.dll                           GetWindowLongW
7   0x1400ad5b8 NONE FUNC USER32.dll                           WindowFromPoint
8   0x1400ad5c0 NONE FUNC USER32.dll                           ClientToScreen
9   0x1400ad5c8 NONE FUNC USER32.dll                           GetCursorPos
10  0x1400ad5d0 NONE FUNC USER32.dll                           SetCursor
11  0x1400ad5d8 NONE FUNC USER32.dll                           SetCursorPos
